"title","author","journal","year"
"The integrated stress response remodels the microtubule-organizing center to clear unfolded proteins following proteotoxic stress","B Hurwitz, N Guzzi, A Gola, VF Fiore, A Sendoel, M Nikolova, D Barrows, ...","Elife",2022
"Expression of BRCA1, BRCA2, RAD51, and other DSB repair factors is regulated by CRL4WDR70","Z Mirman, K Sharma, TS Carroll, T de Lange","Dna Repair",2022
"DUNE Offline Computing Conceptual Design Report","AA Abud, B Abi, R Acciarri, M Acero, M Adames, G Adamov, ...","",2022
"Microbiota-dependent histone butyrylation in the mammalian intestine","LA Gates, BS Reis, PJ Lund, MR Paul, M Leboeuf, Z Nadeem, TS Carroll, ...","BioRxiv",2022
"Transcriptome patterns and their regulation by alternative splicing in Parkinson’s disease.(P12-11.006)","K Irmady, C Hale, R Qadri, J Fak, S Przedborski, T Carroll, R Darnell","Neurology",2022
"Author Correction: Pharmacological targeting of glutamatergic neurons within the brainstem for weight reduction","M Schneeberger, NL Brice, K Pellegrino, L Parolari, JT Shaked, KJ Page, ...","Nature Metabolism",2022
"Urinary Extracellular vesicles abundance of SLC12A3 (NCC) increase and Aquaporine2 decrease following DASH diet implementation","D Bielopolski, L Musante, H Molina, D Barrows, T Carrol, JN Tobin, ...","medRxiv",2022
"DASH Diet Mechanism Dissected by Urinary Extracellular Vesicles: TH-PO840","D Bielopolski, L Musante, D Barrows, TS Carroll, JN Tobin, ...","Journal of the American Society of Nephrology",2022
"An allostatic epigenetic memory on chromatin footprints after double-hit acute stress","SG Caradonna, MR Paul, J Marrocco","Neurobiology of Stress",2022
"P686. Chromatin Footprints in the Ventral Hippocampus in a Double-Hit Model of Heterotypic Stress","S Caradonna, M Paul, B McEwen, J Marrocco","Biological Psychiatry",2022
"Brainstem ADCYAP1+ neurons control multiple aspects of sickness behaviour","A Ilanges, R Shiao, J Shaked, JD Luo, X Yu, JM Friedman","Nature",2022
"A tissue injury repair pathway distinct but parallel to host pathogen defense","S Liu, YH Hur, X Cai, Q Cong, Y Yang, C Xu, AM Bilate, KA Uy Gonzales, ...","bioRxiv",2022
"Translational profiling of mouse dopaminoceptive neurons reveals region-specific gene expression, exon usage, and striatal prostaglandin E2 modulatory effects","E Montalban, A Giralt, L Taing, EHS Schut, LF Supiot, L Castell, ...","Molecular psychiatry",2022
